2018-03-15 00:17:51.9609 | WebApplication2.Controllers.HomeController.CheckDisk | TRACE | check 
2018-03-15 23:18:05.5942 | WebApplication2.Controllers.HomeController.CreateDisks | TRACE | create order 

2018-03-15 23:26:04.9254 | WebApplication2.Controllers.HomeController.CreateDisks | DEBUG | CreateDisks 

2018-03-15 23:26:05.2546 | WebApplication2.Controllers.HomeController.CreateDisks | TRACE | create order 

2018-03-15 23:26:28.9742 | WebApplication2.Controllers.HomeController.CreateDisks | DEBUG | CreateDisks 

2018-03-15 23:26:29.9689 | WebApplication2.Controllers.HomeController.CreateDisks | TRACE | create order 

2018-03-15 23:29:18.9240 | WebApplication2.Controllers.HomeController.CreateDisks | DEBUG | CreateDisks 

2018-03-15 23:29:19.2102 | WebApplication2.Controllers.HomeController.CreateDisks | TRACE | create order 

2018-03-15 23:29:39.3217 | WebApplication2.Controllers.HomeController.CreateDisks | DEBUG | CreateDisks 

2018-03-15 23:29:39.9591 | WebApplication2.Controllers.HomeController.CreateDisks | TRACE | create order 

2018-03-15 23:43:49.0122 | WebApplication2.Controllers.HomeController.CreateDisks | DEBUG | CreateDisks 

2018-03-15 23:43:53.8795 | WebApplication2.Controllers.HomeController.CreateDisks | TRACE | create order 

2018-03-15 23:43:57.6925 | WebApplication2.Controllers.HomeController.CreateDisks | DEBUG | CreateDisks 

2018-03-15 23:43:58.0132 | WebApplication2.Controllers.HomeController.CreateDisks | TRACE | create order 

2018-03-15 23:47:48.4344 | WebApplication2.Controllers.HomeController.SendMarka | TRACE | MarkaСсылка на объект не указывает на экземпляр объекта. 

2018-03-15 23:48:51.1607 | WebApplication2.Controllers.HomeController.CreateDisks | DEBUG | CreateDisks 

2018-03-15 23:48:51.8442 | WebApplication2.Controllers.HomeController.CreateDisks | TRACE | create order 

2018-03-15 23:48:56.4336 | WebApplication2.Controllers.HomeController.CreateDisks | DEBUG | CreateDisks 

2018-03-15 23:48:56.8243 | WebApplication2.Controllers.HomeController.CreateDisks | TRACE | create order 

2018-03-15 23:52:33.0198 | WebApplication2.Controllers.HomeController.SendMarka | TRACE | MarkaСсылка на объект не указывает на экземпляр объекта. 

2018-03-15 23:52:54.0173 | WebApplication2.Controllers.HomeController.CreateDisks | DEBUG | CreateDisks 

2018-03-15 23:55:02.2612 | WebApplication2.Controllers.HomeController.CreateDisks | TRACE | create order 

